sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025354962,0.0261499,0.026309492,0.025625012,0.026567478,0.025771348,0.026656219,0.025957755,0.024882276,0.024587445,0.026260342,0.026583565,0.026425135,0.025418785,0.026215178,0.026374434,0.026176716,0.026359523,0.026832434,0.024690784,0.025199971,0.024704204,0.026628565,0.026082512,0.025633183,0.02497031,0.026206204,0.024725589,0.026386621,0.025744806,0.024742891,0.026613921,0.024869911,0.026140007,0.025302997,0.026920841,0.026086762,0.026947879,0.025704972,0.026208723,0.026088971,0.025903708,0.025587532,0.026503945,0.025334287,0.024561478,0.025998031,0.025289127,0.024909777,0.025651806,0.026486669,0.025818585,0.026308066,0.026086013,0.026396508,0.026095077,0.025758207,0.025115851,0.025062274,0.026842194,0.024588759,0.026946233,0.024690161,0.026285089,0.025138288,0.026059398,0.02486925,0.02690399,0.024680902,0.025145218,0.027007877,0.026904777,0.026299282,0.026145924
0.02752658,0.02692858,0.025585011,0.025910832,0.027012658,0.026031244,0.027276958,0.026313254,0.026238985,0.026005329,0.027399634,0.02629896,0.025367822,0.02630063,0.026953892,0.025777353,0.025168186,0.027081965,0.02600677,0.027636638,0.025596032,0.025988915,0.02762016,0.025901499,0.025779967,0.027537927,0.025658571,0.026087906,0.027464164,0.02591551,0.025520055,0.025695327,0.02671028,0.026972168,0.026670085,0.027597582,0.02555411,0.025209753,0.025416555,0.026203065,0.026891844,0.02597687,0.025638344,0.026632011,0.025878203,0.025798322,0.02537201,0.025865385,0.027629969,0.026609709,0.027170865,0.026065725,0.026651693,0.027591119,0.025543039,0.026180426,0.026271024,0.026577277,0.027393867,0.026650352,0.026383353,0.026211844,0.027251593,0.027518725,0.02670952,0.027472345,0.02748099,0.026878817,0.027442045,0.025295274,0.026386352,0.027501699,0.026031993,0.027172751
0.026905671,0.028356709,0.028108637,0.026994031,0.027713608,0.027671317,0.02615381,0.025855782,0.02729591,0.028034936,0.027894021,0.026591048,0.026441037,0.028257808,0.028329063,0.027499156,0.025937048,0.027255819,0.028325768,0.02602521,0.027395581,0.028054574,0.026354018,0.027011909,0.026411018,0.027501952,0.027215031,0.026894611,0.027660916,0.027539539,0.026605,0.026938023,0.028056191,0.026054327,0.027672392,0.026228908,0.026364793,0.027371967,0.02592402,0.026818618,0.027309998,0.027502394,0.027404996,0.026456425,0.026673611,0.027550538,0.026960428,0.028334377,0.027225521,0.02598388,0.0260241,0.02794374,0.028395275,0.027729328,0.027338687,0.025900542,0.027170778,0.026522901,0.027084116,0.026381526,0.028203484,0.026959623,0.027203598,0.026589332,0.026834469,0.026356564,0.027648527,0.026403917,0.02628738,0.026131972,0.02758817,0.026062978,0.026006371,0.027396658
0.028975161,0.027448554,0.028360512,0.028639159,0.028119571,0.029205584,0.028386435,0.028301726,0.027428391,0.02866421,0.027656085,0.027433683,0.027568463,0.028823406,0.028100543,0.027840989,0.028853675,0.027009537,0.027673603,0.027914707,0.02860264,0.02842263,0.02818224,0.026880556,0.027659684,0.027310831,0.026695222,0.026767346,0.028260201,0.027229334,0.028542,0.027176986,0.028297984,0.027587785,0.028617134,0.028792088,0.028077776,0.026842442,0.029080444,0.027416,0.028664108,0.02668398,0.026884246,0.028680568,0.02818896,0.027230526,0.027042484,0.027417879,0.027330014,0.027625225,0.027763363,0.028165433,0.026660433,0.02815345,0.028326607,0.026892253,0.028140507,0.027577187,0.027606982,0.027472499,0.02721995,0.029198803,0.027772598,0.028460078,0.028412495,0.028979912,0.026850808,0.026663411,0.028007245,0.026889638,0.027112243,0.027478597,0.028354295,0.02665499
0.027916251,0.027761727,0.02753925,0.027152719,0.028594081,0.027406596,0.029949708,0.028513642,0.027450781,0.027934453,0.029505581,0.028605111,0.029659544,0.029511909,0.027823016,0.028783647,0.027976513,0.028797748,0.028075642,0.029889276,0.029004963,0.02877944,0.028618616,0.027893028,0.02825885,0.028861699,0.028339921,0.027832655,0.027613388,0.02934887,0.02968604,0.028978196,0.027485826,0.029169512,0.028130182,0.02896706,0.028795477,0.029069373,0.028299437,0.029499081,0.029912179,0.028689325,0.029110065,0.029031143,0.028572901,0.027720108,0.027385187,0.029359738,0.027489098,0.029824591,0.029828557,0.02892808,0.029394948,0.029279011,0.028605629,0.027221413,0.028790617,0.028811284,0.027163623,0.029487025,0.02958353,0.028174616,0.027990691,0.029235615,0.029493912,0.02948663,0.027149029,0.028593143,0.027807206,0.027434795,0.027237064,0.029742608,0.027681955,0.027969488
0.029267799,0.029397382,0.028812175,0.028327214,0.028717797,0.028531553,0.029195423,0.029259694,0.028682514,0.028179044,0.029025434,0.030098675,0.029774129,0.029103283,0.028123236,0.029886685,0.030567048,0.028134286,0.0304448,0.028114913,0.030427282,0.029182964,0.03012757,0.029784561,0.027891741,0.02877787,0.030440564,0.03017115,0.029746854,0.028517626,0.029379385,0.028736085,0.027871641,0.028181306,0.029135732,0.029544805,0.029269474,0.029961158,0.028749283,0.029633085,0.0288355,0.028965479,0.030342188,0.027892266,0.028258593,0.028275297,0.030203858,0.030677759,0.029606728,0.027993297,0.029341211,0.029014494,0.029273282,0.027871836,0.028850265,0.028452649,0.03067546,0.02826662,0.028907555,0.028866855,0.029558843,0.03033515,0.030219582,0.030171835,0.029784502,0.029664592,0.028164717,0.030752004,0.028529519,0.029803903,0.029586569,0.029044783,0.030739841,0.030294177
0.029139319,0.030781329,0.031512037,0.030167261,0.029818624,0.029766208,0.031123533,0.031312745,0.031182599,0.029720693,0.028921221,0.02968251,0.02923382,0.030301094,0.03060772,0.029132624,0.031262138,0.031371434,0.030625952,0.031088254,0.029393948,0.029808413,0.031294527,0.03023651,0.029342197,0.029797092,0.031198135,0.030692307,0.030003128,0.029723631,0.030809744,0.030086212,0.029186584,0.030734003,0.031389926,0.028953905,0.029552703,0.029066545,0.028734513,0.03126173,0.029343705,0.030478318,0.029312352,0.029537676,0.030138551,0.029049177,0.030481741,0.029294692,0.029756834,0.030194944,0.031041974,0.028830509,0.028807694,0.0288214,0.029052463,0.028895735,0.031106647,0.030559129,0.029450717,0.028552243,0.030138345,0.030415996,0.02857457,0.031411297,0.029828814,0.030527953,0.030731782,0.028789848,0.031173508,0.031211309,0.029046585,0.031436235,0.028624487,0.03059557
0.031773408,0.030116863,0.030016451,0.029383449,0.031931202,0.03194725,0.030673974,0.030078495,0.030303215,0.030853077,0.030094229,0.03115158,0.032064864,0.031461304,0.030208836,0.031443611,0.029715841,0.030455107,0.031058897,0.030127573,0.030975939,0.03073897,0.029824486,0.030314821,0.032310014,0.029617715,0.030374595,0.032307396,0.030020247,0.030780501,0.03106562,0.031019752,0.030121409,0.029666663,0.030139926,0.030469199,0.029487304,0.031482826,0.029680968,0.031959932,0.029281278,0.031376724,0.031553597,0.029804234,0.030028568,0.031622832,0.02954771,0.029573593,0.032261534,0.031927437,0.029317762,0.031941254,0.029924706,0.03153791,0.031396714,0.030240005,0.031580271,0.029567934,0.029479095,0.031744989,0.032099032,0.029310657,0.031676269,0.029915123,0.031486703,0.031071662,0.031692433,0.030026758,0.031683962,0.029734921,0.030987261,0.031724603,0.030168212,0.031338862
0.032349022,0.033034863,0.032671758,0.031993432,0.030137218,0.031230494,0.032833533,0.030538985,0.030749333,0.031658762,0.032162816,0.030767589,0.031997699,0.031834631,0.032477874,0.031565224,0.030659551,0.030023168,0.031209943,0.031083458,0.032397854,0.030416887,0.031759873,0.032342142,0.032747203,0.032655999,0.031380489,0.030048259,0.031425068,0.032143729,0.031698253,0.03059442,0.032768584,0.030214232,0.030868465,0.031648709,0.031114841,0.030260203,0.032893497,0.031701572,0.030816348,0.033072969,0.032248709,0.032536709,0.03184262,0.031997972,0.030081146,0.032458948,0.03061405,0.032651513,0.031778643,0.03015551,0.032347127,0.031146287,0.033002439,0.033011505,0.030970274,0.030276668,0.031415633,0.031997999,0.03184066,0.031279677,0.032347522,0.032158269,0.033070926,0.031395832,0.032843437,0.032982638,0.030419748,0.03075321,0.03062303,0.032115513,0.030292369,0.032925216
