sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18235847,0.150882083,0.192089057,0.187097572,0.109937185,0.165615714,0.147235247,0.180062255,0.186600659,0.142742526,0.119195727,0.131464764,0.134619899,0.173431602,0.110948215,0.131211942,0.163364001,0.123778636,0.184457773,0.179453786,0.179527263,0.173588622,0.184115307,0.149630601,0.179345718,0.103781699,0.185228346,0.158871642,0.18307897,0.112207734,0.109912285,0.190302588,0.148554869,0.130834087,0.161611764,0.183115738,0.1367657,0.139945101,0.105101693,0.129992736,0.151696987,0.143843704,0.102084701,0.136148644,0.113518112,0.148033653,0.169605353,0.127490732,0.19249813,0.181957561,0.142967278,0.177251118,0.183671397,0.18779091,0.099675292,0.174205001,0.144604495,0.099688483,0.179119671,0.174759727,0.174403373,0.174600158,0.127644936,0.164541321,0.152834812,0.163510884,0.152452168,0.174046949,0.138368448,0.190402347,0.151147986,0.167410976,0.184978112,0.13256008
0.457544522,0.190692124,0.318985768,0.672859666,0.158529849,0.193136714,0.18451831,0.433273357,0.289847566,0.187124919,0.17262395,0.187377799,0.202348551,0.629113006,0.154856851,0.195820642,0.1795815,0.189623496,0.226000349,0.336824478,0.402833755,0.191900932,0.508529462,0.18010478,0.299833838,0.152811705,0.348555835,0.184831578,0.416154326,0.161129027,0.162228235,0.511959029,0.18990192,0.188177923,0.179470239,0.37637336,0.183725339,0.195274453,0.160778054,0.186721615,0.188551045,0.191764942,0.142445727,0.194477872,0.168976277,0.178677763,0.184500974,0.19234142,0.245147296,0.534651203,0.18030637,0.401275565,0.375159996,0.718536332,0.154093421,0.180229382,0.181932015,0.157571319,0.183097492,0.439230626,0.196770092,0.185449457,0.192464374,0.178757461,0.180443681,0.183763435,0.18753348,0.187799359,0.185349597,0.268653337,0.190843969,0.190560369,0.208095223,0.190438653
0.611117216,0.639608305,0.645136449,0.652351237,0.617717074,0.602839159,0.656307048,0.661210663,0.650800291,0.619237522,0.60736246,0.62081676,0.646145355,0.622224279,0.625247856,0.610605348,0.663038438,0.666507361,0.644025059,0.654707694,0.660220544,0.632533812,0.639753587,0.624994558,0.624485171,0.58474071,0.639112671,0.605161595,0.615153888,0.591684946,0.602898532,0.647077996,0.623913717,0.608657083,0.609674264,0.626980464,0.633027449,0.637581987,0.628553898,0.650423498,0.64615916,0.611382322,0.612364114,0.655110891,0.643765455,0.645416049,0.613147011,0.640702369,0.616972978,0.605493648,0.639812488,0.606002228,0.608239199,0.605469368,0.637373006,0.631417745,0.621405315,0.630573778,0.611673728,0.608480907,0.648280921,0.618649229,0.666194472,0.609370308,0.663247783,0.620394409,0.618029526,0.663760811,0.610657317,0.640767363,0.629661556,0.64964224,0.662775087,0.651826195
0.680225214,0.644806552,0.681684235,0.638663085,0.645870904,0.671473495,0.670701028,0.679661927,0.626789856,0.61975471,0.649093935,0.663162286,0.633652632,0.640119208,0.6455596,0.666519369,0.649341894,0.670320208,0.630665149,0.621855792,0.67476681,0.643297823,0.657378354,0.679798285,0.633076759,0.625056784,0.630872328,0.650757454,0.651744763,0.646722248,0.639268247,0.658959992,0.60746096,0.643103031,0.619158771,0.665541451,0.635309337,0.661180324,0.671720013,0.667524761,0.654645525,0.647712564,0.646406353,0.618323189,0.627384295,0.632641622,0.64515596,0.670019007,0.646263442,0.642476674,0.642456966,0.623485628,0.652864496,0.672572249,0.68021585,0.638170562,0.636958907,0.630745859,0.633029804,0.642152118,0.63992991,0.668997929,0.679012864,0.669879733,0.655226386,0.640721442,0.680399909,0.680415985,0.636614338,0.64088332,0.67173743,0.656069105,0.643970327,0.662323296
0.69733711,0.669984606,0.663159674,0.6899668,0.635825284,0.688459521,0.684032275,0.690121454,0.655883385,0.638381026,0.669549215,0.67870953,0.661590148,0.690605825,0.63790393,0.679186783,0.64023471,0.677678936,0.638530714,0.663388388,0.696305484,0.67761034,0.684880124,0.647056176,0.642814067,0.676678434,0.634874497,0.651218166,0.69882716,0.688881505,0.697019937,0.652928713,0.655606688,0.673015859,0.668995626,0.646536249,0.658416273,0.641954193,0.691850126,0.683256823,0.675778394,0.636949183,0.696434738,0.66642583,0.684662631,0.637923085,0.677698144,0.670746238,0.683931955,0.646672244,0.669523155,0.69167223,0.676695102,0.645889848,0.633401117,0.657561892,0.657652594,0.63478067,0.636967664,0.641292048,0.689960173,0.671255885,0.652816468,0.658399693,0.635356842,0.648640445,0.690626669,0.641903509,0.673736788,0.66389223,0.656592611,0.648581544,0.663363044,0.692977855
0.670034744,0.706786533,0.706889876,0.70854908,0.669188132,0.656416604,0.669588386,0.709255671,0.712290211,0.653307944,0.682603849,0.655918431,0.650490992,0.694266361,0.716963836,0.702242405,0.664066615,0.682563141,0.660953002,0.716419887,0.684987416,0.671660574,0.684816581,0.701327799,0.712533264,0.660815899,0.703187004,0.696518715,0.684438462,0.657831827,0.655046298,0.686569642,0.644102256,0.704652683,0.672527951,0.66255453,0.655520066,0.676904686,0.663361841,0.664591512,0.653859623,0.679567026,0.713923179,0.675009257,0.691095826,0.713388993,0.68718401,0.653079633,0.664170658,0.69942065,0.657651938,0.665668329,0.694827586,0.664145815,0.657193766,0.682846705,0.685010721,0.713896813,0.708785263,0.702608237,0.702978711,0.69587172,0.665348368,0.655142033,0.712122825,0.68941706,0.667040642,0.649495533,0.668688249,0.663119245,0.680790623,0.70975668,0.666513394,0.651139478
0.711180779,0.710373128,0.686789749,0.723055169,0.732685316,0.710992868,0.706979718,0.674627829,0.724450589,0.669143553,0.672774536,0.679208158,0.672373629,0.731000519,0.696474297,0.666619594,0.67718882,0.673369258,0.681910641,0.689794489,0.722188402,0.704647871,0.69202154,0.67538282,0.687981561,0.733430659,0.673410286,0.66641202,0.722454151,0.715957591,0.734393252,0.699163334,0.676769984,0.674480836,0.683171787,0.671647046,0.709055396,0.702341499,0.685644822,0.673061127,0.676564909,0.725628845,0.673967147,0.690067455,0.69925523,0.673794312,0.666375078,0.691288589,0.7149442,0.668370624,0.706044082,0.695694254,0.682324345,0.668067392,0.695103924,0.700167037,0.729458067,0.700231531,0.706214215,0.667323439,0.69839698,0.696341258,0.702373385,0.707829207,0.73316292,0.666781444,0.691208066,0.709603917,0.669924238,0.683475229,0.696966631,0.697838442,0.697236128,0.676662487
0.749354524,0.681657049,0.696191309,0.695924787,0.685170906,0.729896825,0.691399024,0.701965378,0.681308416,0.745693163,0.694714062,0.73548615,0.713723008,0.740639933,0.744404104,0.715672534,0.747560781,0.750159683,0.710764246,0.731566409,0.681987561,0.743127616,0.714090641,0.683119625,0.694608054,0.749075046,0.725152597,0.726523865,0.688954402,0.684360653,0.690787795,0.701416088,0.724490889,0.69552282,0.7309868,0.711118479,0.719545015,0.722510966,0.74042159,0.682735188,0.749593347,0.697973988,0.747184999,0.738606159,0.70868501,0.73531817,0.710143171,0.709687752,0.752346942,0.730164474,0.696447171,0.707056126,0.705238851,0.713848198,0.74699544,0.679017986,0.703862416,0.681777399,0.733097337,0.712574285,0.686426129,0.743295256,0.7258273,0.704322689,0.691009304,0.743551795,0.748794058,0.724843429,0.725697311,0.735409121,0.751604153,0.704313931,0.716353773,0.736690652
0.699466935,0.740821746,0.754479192,0.745955525,0.734128835,0.735537733,0.703446858,0.752692219,0.704543143,0.765594386,0.72327882,0.755264737,0.724566062,0.723449788,0.718451833,0.732333729,0.765033764,0.725123384,0.732118991,0.76601103,0.728711073,0.714835292,0.734318735,0.767516216,0.740123417,0.708483043,0.738736572,0.747652189,0.711723154,0.752863056,0.699904859,0.699379499,0.700594242,0.7172242,0.73599349,0.757544665,0.741093913,0.757356327,0.701094275,0.746027958,0.702008355,0.708395302,0.738336818,0.715870904,0.765613594,0.745237354,0.731143902,0.754663588,0.711410311,0.712815319,0.77082697,0.727497217,0.701978169,0.71636263,0.766738925,0.719445914,0.724492093,0.724917287,0.734338021,0.771141333,0.747294409,0.754308443,0.715855238,0.714087395,0.731367544,0.753021016,0.699034338,0.724744262,0.771011564,0.732058236,0.725855729,0.705292564,0.748296236,0.76959694
