sc01,sc02,sc03,sc04,sc05,sc06,sc07,sc08,sc09,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45,sc46,sc47,sc48,sc49,sc50,sc51,sc52,sc53,sc54,sc55,sc56,sc57,sc58,sc59,sc60,sc61,sc62,sc63,sc64,sc65,sc66,sc67,sc68,sc69,sc70,sc71,sc72,sc73,sc74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285732795,0.27212277,0.275683377,0.27894734,0.225160021,0.277960997,0.274831175,0.278977439,0.278320403,0.2573017,0.228306923,0.228802224,0.25514795,0.275132901,0.210555448,0.234619901,0.269776489,0.232730288,0.268540617,0.289475135,0.275149154,0.272006652,0.29047676,0.256368679,0.274363607,0.204207865,0.27264079,0.272100144,0.284137456,0.218915862,0.214307625,0.282168177,0.260808512,0.257834168,0.259691392,0.286361878,0.253399544,0.262229494,0.194519591,0.247249572,0.271412842,0.261267154,0.18997971,0.259055358,0.217052533,0.255364701,0.284848787,0.2465704,0.264954107,0.279081514,0.258262003,0.290748242,0.271472261,0.301125604,0.200492061,0.274224187,0.272051976,0.202122422,0.277270311,0.272080644,0.279336371,0.280008907,0.239655506,0.257040631,0.269717351,0.271608541,0.264923284,0.275421782,0.237899059,0.277049257,0.255849412,0.261058854,0.287457664,0.230538946
0.329991073,0.329937776,0.341773067,0.354401792,0.34843508,0.335576363,0.357517023,0.344126168,0.329891869,0.361596988,0.336600335,0.346633374,0.356004627,0.344114895,0.357825181,0.347997723,0.339211511,0.354933889,0.340988812,0.358529696,0.351257325,0.34818424,0.342989217,0.331826524,0.347532149,0.355027185,0.352144403,0.353822079,0.361649153,0.355093984,0.336518397,0.343809878,0.354873206,0.348627607,0.351769689,0.331619469,0.34834103,0.340785606,0.355390618,0.348311972,0.346960772,0.352674907,0.341647771,0.353468038,0.331401247,0.360887887,0.343757047,0.329692958,0.329459799,0.328959673,0.338623519,0.360428334,0.337819119,0.343081288,0.337656019,0.345441914,0.338130623,0.344922711,0.328981064,0.338771906,0.348426841,0.357461586,0.360318371,0.333347527,0.339309386,0.352340735,0.342704138,0.333484476,0.361251057,0.349311458,0.338662212,0.353199939,0.350789108,0.339485996
0.370224863,0.341212862,0.355515032,0.359215731,0.361396646,0.354076723,0.36690005,0.363745687,0.341318814,0.344365456,0.356626748,0.370067529,0.338068334,0.352143828,0.339157555,0.342618403,0.368290848,0.365255895,0.339105615,0.339459509,0.34245875,0.358121234,0.343000444,0.354667229,0.344643042,0.372979133,0.339839953,0.364403218,0.353648049,0.366303321,0.356042889,0.364416099,0.340952156,0.349919544,0.355845384,0.338694783,0.355838046,0.355600869,0.361948654,0.353830155,0.36699049,0.338813553,0.347637963,0.364360315,0.338895135,0.356601098,0.361743451,0.366811877,0.342787694,0.338530537,0.354483341,0.36458997,0.348859165,0.343236783,0.371339738,0.367714331,0.355395558,0.371299009,0.365117344,0.367103987,0.366505216,0.359971627,0.353636144,0.366530575,0.372525211,0.343760278,0.341485948,0.359686654,0.35445878,0.348702345,0.350399066,0.346149491,0.368743394,0.367369816
0.350140158,0.3823599,0.370266717,0.355674815,0.371506081,0.368191637,0.3628134,0.362451425,0.373711112,0.351306593,0.347422182,0.353239448,0.376709448,0.36376132,0.372083685,0.34845741,0.361740554,0.348228285,0.363976041,0.351843489,0.351518667,0.366389395,0.357608369,0.35124952,0.36903071,0.36941752,0.37092245,0.352402443,0.379295029,0.378158039,0.379616367,0.359548469,0.375645939,0.354693148,0.381391432,0.351874616,0.356476812,0.349226312,0.368800645,0.366788999,0.38108225,0.368576807,0.379798685,0.378624814,0.381833713,0.36319978,0.349643501,0.37758883,0.362119341,0.360236038,0.382249364,0.352930577,0.373096063,0.380658339,0.347430028,0.381606728,0.347881994,0.376698845,0.370658939,0.360437425,0.367698042,0.357580243,0.379144858,0.351950964,0.373694411,0.360962537,0.365240573,0.36711732,0.351482407,0.34977587,0.351947793,0.380393791,0.352198432,0.379689303
0.378504955,0.381325218,0.380242441,0.36388544,0.369221479,0.385587897,0.36539386,0.362140542,0.371837586,0.364688253,0.38346896,0.356531685,0.363153069,0.367496645,0.385128782,0.356875647,0.385808362,0.378633646,0.36911885,0.367415344,0.370585814,0.355703207,0.390958242,0.390093032,0.375012189,0.365762204,0.381416973,0.373064107,0.371396488,0.364675789,0.372896215,0.38035356,0.385780922,0.369808922,0.389124468,0.362007487,0.368705599,0.382113592,0.35811568,0.372543604,0.370654517,0.35876483,0.360921794,0.386335406,0.385750112,0.386167976,0.356488616,0.364915122,0.358506259,0.358877963,0.376214008,0.36745027,0.377854944,0.377895655,0.368819499,0.369024214,0.391372352,0.390646534,0.384004633,0.383092973,0.392407508,0.370549697,0.385159352,0.363332296,0.378510574,0.373119,0.377014004,0.368434696,0.376215338,0.376003851,0.375090291,0.388747269,0.361271761,0.36323297
0.385918183,0.387379979,0.366851373,0.3793797,0.368023786,0.401713335,0.377125281,0.389029709,0.387375037,0.381295266,0.370267596,0.376254084,0.40105263,0.373130368,0.379321441,0.397948446,0.396480262,0.395128194,0.365400563,0.377775407,0.38037827,0.377246953,0.364314249,0.396640173,0.364638332,0.364270812,0.38728896,0.39898209,0.39555114,0.385798715,0.399357516,0.380502731,0.368755714,0.39136773,0.369670587,0.373760294,0.389039014,0.390669363,0.393960526,0.392978846,0.368559972,0.371761109,0.365561543,0.396102238,0.371508219,0.390182111,0.382881321,0.378065643,0.375999565,0.392974642,0.387686792,0.378424385,0.377959039,0.383125142,0.396251677,0.383769535,0.394746374,0.365766924,0.374853597,0.389027435,0.398701232,0.381237488,0.391666415,0.384874621,0.390822178,0.368890141,0.396228283,0.383821409,0.369143894,0.380656374,0.371847411,0.373636714,0.394891465,0.385575012
0.375110673,0.399336918,0.410082899,0.409418329,0.411165674,0.411710411,0.399880712,0.394643851,0.37791228,0.399045651,0.394720801,0.402468878,0.389344022,0.392866828,0.398430498,0.403037097,0.400912076,0.408806567,0.398187398,0.398913068,0.383847056,0.401687534,0.396461586,0.373095068,0.387678994,0.390776029,0.387928245,0.387372456,0.389463818,0.395295442,0.40071485,0.373313337,0.410571775,0.376815149,0.405127316,0.391689513,0.380059887,0.404728348,0.399356887,0.393841123,0.384435463,0.390764951,0.404219581,0.383674449,0.410804943,0.399579617,0.393032999,0.401524754,0.396051519,0.404818283,0.381416435,0.388141654,0.383306699,0.388227034,0.388096803,0.399192526,0.379370539,0.400870707,0.411519941,0.402382411,0.401297982,0.395363153,0.389542179,0.393718876,0.388751883,0.375995972,0.390882024,0.374874059,0.388051592,0.388460274,0.394117848,0.373600903,0.408908377,0.378992524
0.397308723,0.40112952,0.394603126,0.39954612,0.410181972,0.394159291,0.412127309,0.386848165,0.383333177,0.411230641,0.389487345,0.404101191,0.402433451,0.407583895,0.413455336,0.409374818,0.406170823,0.403633179,0.405074097,0.384395319,0.384487289,0.416925349,0.411389685,0.421386094,0.391243736,0.417524676,0.38249235,0.389231765,0.384338018,0.404935262,0.407816032,0.413913753,0.401080928,0.406776463,0.418388453,0.407453933,0.42118557,0.404768337,0.404894681,0.40379473,0.409351163,0.387334748,0.418233378,0.408179422,0.384378689,0.410938166,0.412242868,0.417585596,0.38959181,0.408242115,0.386222265,0.415730586,0.396898481,0.418571594,0.385194383,0.400277805,0.396743013,0.398342131,0.38334515,0.401989364,0.409518977,0.407283706,0.415122552,0.404961297,0.414549231,0.386031612,0.401942601,0.390813444,0.42095048,0.411888471,0.386196683,0.420095577,0.415351343,0.421074085
